Signal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Label
29,0,0,740894,126232,9183,9229,14336,10304,3663,3515,
29,0,0,2085264,100906,84657,64767,60559,31188,12496,9082,
29,0,0,2807147,90689,76668,117549,70590,70974,10673,12655,Forward
29,0,0,376874,43357,18435,15474,20033,8374,9822,6054,Forward
29,0,0,271598,68566,8318,12757,19267,14769,2344,1927,Forward
29,0,0,542221,44207,6199,24504,16898,19404,7727,3578,Forward
29,0,0,1708136,453071,33187,81763,44123,36406,99300,27709,Forward
29,0,0,738510,51347,2661,19635,15217,19429,4840,3681,Forward
29,0,0,1391184,404868,63943,89725,39574,97990,18517,8384,Forward
29,0,0,1069680,459109,96531,127568,58728,81956,15769,21518,Forward
29,0,0,1627032,551205,103320,97250,98571,41478,35618,12568,Forward
54,0,0,513821,63759,69626,24606,17244,25017,3836,1816,
29,0,0,518288,52167,16145,6591,5428,14251,5302,4559,
29,0,0,733627,23830,12762,25142,10080,10155,6760,6130,Backward
29,0,0,1505412,436165,12523,45869,31993,32771,21565,8110,Backward
29,0,0,1742842,256192,15618,70688,71516,104490,21623,21892,Backward
29,0,0,559621,27390,9556,36304,13735,11937,12562,1892,Backward
29,0,0,1352644,139086,53748,32207,57539,28177,20019,13604,Backward
29,0,0,775862,21697,13125,25074,27634,18524,4144,5817,Backward
29,0,0,1056720,37819,60785,29134,20703,12433,7977,3265,Backward
29,0,0,1091028,172412,88072,166680,112049,92929,18997,9728,Backward
29,0,0,1322182,77085,24095,7166,15947,10615,3498,4490,Backward
55,0,0,1555199,364385,117799,96959,32789,82011,95626,55951,Backward
29,0,0,1116184,49522,16306,14921,3435,25969,9605,6790,
29,0,0,343978,101430,7922,47057,39510,16573,18415,5282,Left
29,0,0,135303,6769,9490,3445,7415,4050,1937,2357,Left
29,0,0,1203254,128373,12204,36034,22417,15749,7215,6406,Left
29,0,0,160506,178515,30654,50543,19851,23584,19902,12852,Left
55,0,0,1732896,20427,6457,21097,13187,10090,8095,5776,Left
29,0,0,541840,52582,3132,14767,17316,12574,3365,2599,Left
29,0,0,818121,76525,24731,23758,21571,17243,5429,2357,Left
29,0,0,1757638,464014,37887,40214,108401,39341,23204,9859,Left
29,0,0,658406,50383,30032,17874,12511,13647,17997,9651,Left
54,0,0,2994683,319158,106649,188781,16737,66007,49004,30827,
29,0,0,1934688,410927,63694,128359,50092,39722,26793,24456,Right
29,0,0,1365020,560008,51125,65714,118598,83382,30861,16570,Right
55,0,0,783939,73811,12773,12482,19417,5064,4921,2564,Right
55,0,0,940455,39246,15987,21577,18765,9700,6209,2538,Right
54,0,0,1607739,27757,3223,6909,10687,9249,5891,2323,Right
29,0,0,887281,14325,9105,20271,7917,11399,2724,1782,Right
29,0,0,1546004,25480,4646,5187,9113,9529,5187,3649,Right
55,0,0,533391,112442,66095,53825,25734,13505,6849,7430,Right
55,0,0,452493,119162,14934,5892,15199,9074,2856,3060,Right
55,0,0,1069061,212490,38535,19936,29260,18962,1566,2904,Right
29,0,0,1602171,48170,43011,23784,33514,39838,17687,6187,Up
55,0,0,943171,90019,8880,17917,19103,6203,1621,2109,Up
29,0,0,1921405,92239,11925,23655,56963,45339,4848,11809,Up
29,0,0,1037376,50159,1376,10141,11242,11219,2378,2757,Up
54,0,0,1399580,152667,17682,38257,10326,29097,27388,8389,Up
0,0,0,654722,80057,4045,14624,8423,12486,7716,4227,Up
55,0,0,649970,33224,31918,15675,18200,7603,5374,3990,Up
25,0,0,873208,44570,7408,10888,10524,7317,3661,2787,Up
25,0,0,478197,54353,8601,1485,7672,14356,4682,1941,Up
25,0,0,605385,33139,4999,2455,20366,13466,4959,939,Up
0,0,0,903441,41743,19786,25133,13229,10059,3976,2588,Down
0,0,0,1052367,17748,12741,10890,10341,14718,2754,3154,Down
26,0,0,1005108,39849,10509,15195,8149,5903,5597,1852,Down
26,0,0,624818,144622,40364,60711,26914,16837,4065,5448,Down
51,0,0,1755531,39603,17295,22246,15664,15650,3020,2146,Down
26,0,0,1140953,14451,4933,9179,12308,9058,2444,2355,Down
26,0,0,577783,38316,8174,6469,4511,17170,5073,4033,Down
26,0,0,1245367,17699,19352,25719,11755,16788,3113,1238,Down
0,40,60,886679,44163,3179,11144,7633,4924,1439,1443,Down
26,40,60,954772,11631,7924,15352,10226,6561,2277,1237,Down
51,40,60,587293,33640,14187,16859,4958,7189,4035,1708,Down
